trip_id,date,route_id,route_name,bus_id,capacity,passengers_on_board,scheduled_departure,actual_departure,scheduled_arrival,actual_arrival,scheduled_travel_min,actual_travel_min,delay_min,occupancy_rate
R1_20251020_0825,10/20/2025,R1,Colombo-Pettah ⇄ Kaduwela,BUS112,50,50,2025-10-20T08:25:00,2025-10-20T08:25:00,2025-10-20T09:00:00,2025-10-20T09:12:00,35,47,12,1
R1_20251020_0840,10/20/2025,R1,Colombo-Pettah ⇄ Kaduwela,BUS104,50,50,2025-10-20T08:40:00,2025-10-20T08:45:00,2025-10-20T09:15:00,2025-10-20T09:28:00,35,48,13,1
R1_20251020_0855,10/20/2025,R1,Colombo-Pettah ⇄ Kaduwela,BUS118,50,17,2025-10-20T08:55:00,2025-10-20T08:59:00,2025-10-20T09:30:00,2025-10-20T09:54:00,35,56,24,0.34
R1_20251020_0915,10/20/2025,R1,Colombo-Pettah ⇄ Kaduwela,BUS120,45,20,2025-10-20T09:15:00,2025-10-20T09:15:00,2025-10-20T09:50:00,2025-10-20T10:02:00,35,44,12,0.444
R1_20251020_0930,10/20/2025,R1,Colombo-Pettah ⇄ Kaduwela,BUS116,50,50,2025-10-20T09:30:00,2025-10-20T09:36:00,2025-10-20T10:05:00,2025-10-20T10:12:00,35,41,7,1
R1_20251020_0955,10/20/2025,R1,Colombo-Pettah ⇄ Kaduwela,BUS124,55,28,2025-10-20T09:55:00,2025-10-20T09:59:00,2025-10-20T10:30:00,2025-10-20T10:36:00,35,40,6,0.509
R1_20251020_1020,10/20/2025,R1,Colombo-Pettah ⇄ Kaduwela,BUS116,45,17,2025-10-20T10:20:00,2025-10-20T10:20:00,2025-10-20T10:55:00,2025-10-20T10:57:00,35,37,2,0.378
R1_20251020_1045,10/20/2025,R1,Colombo-Pettah ⇄ Kaduwela,BUS124,45,19,2025-10-20T10:45:00,2025-10-20T10:45:00,2025-10-20T11:20:00,2025-10-20T11:20:00,35,35,0,0.422
R1_20251020_1110,10/20/2025,R1,Colombo-Pettah ⇄ Kaduwela,BUS115,45,23,2025-10-20T11:10:00,2025-10-20T11:17:00,2025-10-20T11:45:00,2025-10-20T11:49:00,35,39,4,0.511
R1_20251020_1130,10/20/2025,R1,Colombo-Pettah ⇄ Kaduwela,BUS102,55,23,2025-10-20T11:30:00,2025-10-20T11:32:00,2025-10-20T12:05:00,2025-10-20T12:08:00,35,37,3,0.418
R1_20251020_1150,10/20/2025,R1,Colombo-Pettah ⇄ Kaduwela,BUS121,50,22,2025-10-20T11:50:00,2025-10-20T11:50:00,2025-10-20T12:25:00,2025-10-20T12:27:00,35,41,2,0.44
R1_20251020_1210,10/20/2025,R1,Colombo-Pettah ⇄ Kaduwela,BUS122,50,17,2025-10-20T12:10:00,2025-10-20T12:14:00,2025-10-20T12:45:00,2025-10-20T12:45:00,35,38,0,0.34
R1_20251020_1225,10/20/2025,R1,Colombo-Pettah ⇄ Kaduwela,BUS103,45,20,2025-10-20T12:25:00,2025-10-20T12:25:00,2025-10-20T13:00:00,2025-10-20T13:04:00,35,39,4,0.444
R1_20251020_1245,10/20/2025,R1,Colombo-Pettah ⇄ Kaduwela,BUS107,45,21,2025-10-20T12:45:00,2025-10-20T12:45:00,2025-10-20T13:20:00,2025-10-20T13:28:00,35,41,8,0.467
R1_20251020_1300,10/20/2025,R1,Colombo-Pettah ⇄ Kaduwela,BUS106,55,27,2025-10-20T13:00:00,2025-10-20T13:00:00,2025-10-20T13:35:00,2025-10-20T13:41:00,35,41,6,0.491
R1_20251020_1320,10/20/2025,R1,Colombo-Pettah ⇄ Kaduwela,BUS103,45,11,2025-10-20T13:20:00,2025-10-20T13:20:00,2025-10-20T13:55:00,2025-10-20T13:56:00,35,38,1,0.244
R1_20251020_1340,10/20/2025,R1,Colombo-Pettah ⇄ Kaduwela,BUS121,55,22,2025-10-20T13:40:00,2025-10-20T13:40:00,2025-10-20T14:15:00,2025-10-20T14:19:00,35,37,4,0.4
R1_20251020_1400,10/20/2025,R1,Colombo-Pettah ⇄ Kaduwela,BUS117,50,17,2025-10-20T14:00:00,2025-10-20T14:03:00,2025-10-20T14:35:00,2025-10-20T14:38:00,35,38,3,0.34
R1_20251020_1420,10/20/2025,R1,Colombo-Pettah ⇄ Kaduwela,BUS114,55,25,2025-10-20T14:20:00,2025-10-20T14:21:00,2025-10-20T14:55:00,2025-10-20T14:59:00,35,41,4,0.455
R1_20251020_1440,10/20/2025,R1,Colombo-Pettah ⇄ Kaduwela,BUS105,50,24,2025-10-20T14:40:00,2025-10-20T14:42:00,2025-10-20T15:15:00,2025-10-20T15:16:00,35,36,1,0.48
R1_20251020_1455,10/20/2025,R1,Colombo-Pettah ⇄ Kaduwela,BUS100,50,19,2025-10-20T14:55:00,2025-10-20T14:55:00,2025-10-20T15:30:00,2025-10-20T15:37:00,35,47,7,0.38
R1_20251020_1510,10/20/2025,R1,Colombo-Pettah ⇄ Kaduwela,BUS104,45,15,2025-10-20T15:10:00,2025-10-20T15:19:00,2025-10-20T15:45:00,2025-10-20T15:46:00,35,36,1,0.333
R1_20251020_1535,10/20/2025,R1,Colombo-Pettah ⇄ Kaduwela,BUS101,45,14,2025-10-20T15:35:00,2025-10-20T15:38:00,2025-10-20T16:10:00,2025-10-20T16:11:00,35,36,1,0.311
R1_20251020_1555,10/20/2025,R1,Colombo-Pettah ⇄ Kaduwela,BUS102,55,19,2025-10-20T15:55:00,2025-10-20T15:59:00,2025-10-20T16:30:00,2025-10-20T16:36:00,35,43,6,0.345
R1_20251020_1615,10/20/2025,R1,Colombo-Pettah ⇄ Kaduwela,BUS118,55,11,2025-10-20T16:15:00,2025-10-20T16:15:00,2025-10-20T16:50:00,2025-10-20T16:53:00,35,38,3,0.2
R1_20251020_1640,10/20/2025,R1,Colombo-Pettah ⇄ Kaduwela,BUS107,50,11,2025-10-20T16:40:00,2025-10-20T16:44:00,2025-10-20T17:15:00,2025-10-20T17:15:00,35,36,0,0.22
R1_20251020_1700,10/20/2025,R1,Colombo-Pettah ⇄ Kaduwela,BUS100,50,34,2025-10-20T17:00:00,2025-10-20T17:05:00,2025-10-20T17:35:00,2025-10-20T17:41:00,35,38,6,0.68
R1_20251020_1725,10/20/2025,R1,Colombo-Pettah ⇄ Kaduwela,BUS102,45,44,2025-10-20T17:25:00,2025-10-20T17:28:00,2025-10-20T18:00:00,2025-10-20T18:09:00,35,41,9,0.978
R1_20251020_1745,10/20/2025,R1,Colombo-Pettah ⇄ Kaduwela,BUS121,55,39,2025-10-20T17:45:00,2025-10-20T17:48:00,2025-10-20T18:20:00,2025-10-20T18:35:00,35,50,15,0.709
R1_20251020_1805,10/20/2025,R1,Colombo-Pettah ⇄ Kaduwela,BUS108,50,48,2025-10-20T18:05:00,2025-10-20T18:05:00,2025-10-20T18:40:00,2025-10-20T18:43:00,35,38,3,0.96
R1_20251020_1830,10/20/2025,R1,Colombo-Pettah ⇄ Kaduwela,BUS116,50,44,2025-10-20T18:30:00,2025-10-20T18:36:00,2025-10-20T19:05:00,2025-10-20T19:25:00,35,53,20,0.88
R1_20251020_1855,10/20/2025,R1,Colombo-Pettah ⇄ Kaduwela,BUS124,45,42,2025-10-20T18:55:00,2025-10-20T18:55:00,2025-10-20T19:30:00,2025-10-20T19:35:00,35,40,5,0.933
R1_20251020_1910,10/20/2025,R1,Colombo-Pettah ⇄ Kaduwela,BUS117,45,45,2025-10-20T19:10:00,2025-10-20T19:11:00,2025-10-20T19:45:00,2025-10-20T20:00:00,35,51,15,1
R1_20251020_1930,10/20/2025,R1,Colombo-Pettah ⇄ Kaduwela,BUS113,45,45,2025-10-20T19:30:00,2025-10-20T19:32:00,2025-10-20T20:05:00,2025-10-20T20:25:00,35,47,20,1
R1_20251020_1950,10/20/2025,R1,Colombo-Pettah ⇄ Kaduwela,BUS111,45,38,2025-10-20T19:50:00,2025-10-20T19:50:00,2025-10-20T20:25:00,2025-10-20T20:30:00,35,39,5,0.844
R1_20251020_2010,10/20/2025,R1,Colombo-Pettah ⇄ Kaduwela,BUS107,45,5,2025-10-20T20:10:00,2025-10-20T20:11:00,2025-10-20T20:45:00,2025-10-20T20:52:00,35,41,7,0.111
R1_20251020_2035,10/20/2025,R1,Colombo-Pettah ⇄ Kaduwela,BUS113,55,12,2025-10-20T20:35:00,2025-10-20T20:36:00,2025-10-20T21:10:00,2025-10-20T21:16:00,35,38,6,0.218
R1_20251020_2050,10/20/2025,R1,Colombo-Pettah ⇄ Kaduwela,BUS107,45,13,2025-10-20T20:50:00,2025-10-20T20:50:00,2025-10-20T21:25:00,2025-10-20T21:28:00,35,41,3,0.289
R1_20251020_2110,10/20/2025,R1,Colombo-Pettah ⇄ Kaduwela,BUS107,45,8,2025-10-20T21:10:00,2025-10-20T21:11:00,2025-10-20T21:45:00,2025-10-20T21:48:00,35,36,3,0.178
R1_20251020_2125,10/20/2025,R1,Colombo-Pettah ⇄ Kaduwela,BUS121,55,7,2025-10-20T21:25:00,2025-10-20T21:27:00,2025-10-20T22:00:00,2025-10-20T22:04:00,35,37,4,0.127
R1_20251020_2150,10/20/2025,R1,Colombo-Pettah ⇄ Kaduwela,BUS101,45,8,2025-10-20T21:50:00,2025-10-20T21:52:00,2025-10-20T22:25:00,2025-10-20T22:26:00,35,36,1,0.178
R1_20251020_2210,10/20/2025,R1,Colombo-Pettah ⇄ Kaduwela,BUS108,45,9,2025-10-20T22:10:00,2025-10-20T22:11:00,2025-10-20T22:45:00,2025-10-20T22:51:00,35,37,6,0.2
R1_20251020_2230,10/20/2025,R1,Colombo-Pettah ⇄ Kaduwela,BUS111,50,13,2025-10-20T22:30:00,2025-10-20T22:30:00,2025-10-20T23:05:00,2025-10-20T23:12:00,35,40,7,0.26
R1_20251020_2255,10/20/2025,R1,Colombo-Pettah ⇄ Kaduwela,BUS116,50,6,2025-10-20T22:55:00,2025-10-20T22:55:00,2025-10-20T23:30:00,2025-10-20T23:32:00,35,37,2,0.12
R2_20251020_0500,10/20/2025,R2,Colombo ⇄ Negombo,BUS113,55,13,2025-10-20T05:00:00,2025-10-20T05:05:00,2025-10-20T06:00:00,2025-10-20T06:01:00,60,61,1,0.236
R2_20251020_0530,10/20/2025,R2,Colombo ⇄ Negombo,BUS109,50,12,2025-10-20T05:30:00,2025-10-20T05:37:00,2025-10-20T06:30:00,2025-10-20T06:33:00,60,63,3,0.24
R2_20251020_0555,10/20/2025,R2,Colombo ⇄ Negombo,BUS114,55,10,2025-10-20T05:55:00,2025-10-20T06:01:00,2025-10-20T06:55:00,2025-10-20T07:00:00,60,65,5,0.182
R2_20251020_0630,10/20/2025,R2,Colombo ⇄ Negombo,BUS102,45,43,2025-10-20T06:30:00,2025-10-20T06:30:00,2025-10-20T07:30:00,2025-10-20T07:33:00,60,62,3,0.956
R2_20251020_0700,10/20/2025,R2,Colombo ⇄ Negombo,BUS115,55,42,2025-10-20T07:00:00,2025-10-20T07:00:00,2025-10-20T08:00:00,2025-10-20T08:09:00,60,67,9,0.764
R2_20251020_0725,10/20/2025,R2,Colombo ⇄ Negombo,BUS112,45,45,2025-10-20T07:25:00,2025-10-20T07:30:00,2025-10-20T08:25:00,2025-10-20T08:42:00,60,72,17,1
R2_20251020_0755,10/20/2025,R2,Colombo ⇄ Negombo,BUS124,50,43,2025-10-20T07:55:00,2025-10-20T07:55:00,2025-10-20T08:55:00,2025-10-20T09:11:00,60,76,16,0.86
R2_20251020_0825,10/20/2025,R2,Colombo ⇄ Negombo,BUS114,45,32,2025-10-20T08:25:00,2025-10-20T08:25:00,2025-10-20T09:25:00,2025-10-20T09:40:00,60,70,15,0.711
R2_20251020_0850,10/20/2025,R2,Colombo ⇄ Negombo,BUS119,55,48,2025-10-20T08:50:00,2025-10-20T08:54:00,2025-10-20T09:50:00,2025-10-20T09:54:00,60,66,4,0.873
R2_20251020_0915,10/20/2025,R2,Colombo ⇄ Negombo,BUS108,45,45,2025-10-20T09:15:00,2025-10-20T09:15:00,2025-10-20T10:15:00,2025-10-20T10:26:00,60,70,11,1
R2_20251020_0945,10/20/2025,R2,Colombo ⇄ Negombo,BUS108,50,47,2025-10-20T09:45:00,2025-10-20T09:46:00,2025-10-20T10:45:00,2025-10-20T10:57:00,60,69,12,0.94
R2_20251020_1015,10/20/2025,R2,Colombo ⇄ Negombo,BUS112,55,19,2025-10-20T10:15:00,2025-10-20T10:18:00,2025-10-20T11:15:00,2025-10-20T11:18:00,60,63,3,0.345
R2_20251020_1040,10/20/2025,R2,Colombo ⇄ Negombo,BUS113,45,21,2025-10-20T10:40:00,2025-10-20T10:45:00,2025-10-20T11:40:00,2025-10-20T11:45:00,60,65,5,0.467
R2_20251020_1105,10/20/2025,R2,Colombo ⇄ Negombo,BUS115,45,10,2025-10-20T11:05:00,2025-10-20T11:06:00,2025-10-20T12:05:00,2025-10-20T12:09:00,60,66,4,0.222
R2_20251020_1130,10/20/2025,R2,Colombo ⇄ Negombo,BUS117,55,19,2025-10-20T11:30:00,2025-10-20T11:34:00,2025-10-20T12:30:00,2025-10-20T12:30:00,60,60,0,0.345
R2_20251020_1155,10/20/2025,R2,Colombo ⇄ Negombo,BUS110,55,25,2025-10-20T11:55:00,2025-10-20T11:55:00,2025-10-20T12:55:00,2025-10-20T12:59:00,60,63,4,0.455
R2_20251020_1225,10/20/2025,R2,Colombo ⇄ Negombo,BUS119,55,24,2025-10-20T12:25:00,2025-10-20T12:26:00,2025-10-20T13:25:00,2025-10-20T13:28:00,60,63,3,0.436
R2_20251020_1250,10/20/2025,R2,Colombo ⇄ Negombo,BUS105,45,17,2025-10-20T12:50:00,2025-10-20T12:54:00,2025-10-20T13:50:00,2025-10-20T13:52:00,60,62,2,0.378
R2_20251020_1315,10/20/2025,R2,Colombo ⇄ Negombo,BUS108,50,19,2025-10-20T13:15:00,2025-10-20T13:20:00,2025-10-20T14:15:00,2025-10-20T14:19:00,60,64,4,0.38
R2_20251020_1345,10/20/2025,R2,Colombo ⇄ Negombo,BUS124,55,19,2025-10-20T13:45:00,2025-10-20T13:47:00,2025-10-20T14:45:00,2025-10-20T14:49:00,60,66,4,0.345
R2_20251020_1415,10/20/2025,R2,Colombo ⇄ Negombo,BUS107,45,17,2025-10-20T14:15:00,2025-10-20T14:20:00,2025-10-20T15:15:00,2025-10-20T15:18:00,60,63,3,0.378
R2_20251020_1445,10/20/2025,R2,Colombo ⇄ Negombo,BUS124,45,24,2025-10-20T14:45:00,2025-10-20T14:46:00,2025-10-20T15:45:00,2025-10-20T15:51:00,60,63,6,0.533
R2_20251020_1510,10/20/2025,R2,Colombo ⇄ Negombo,BUS112,55,22,2025-10-20T15:10:00,2025-10-20T15:13:00,2025-10-20T16:10:00,2025-10-20T16:15:00,60,65,5,0.4
R2_20251020_1540,10/20/2025,R2,Colombo ⇄ Negombo,BUS118,45,15,2025-10-20T15:40:00,2025-10-20T15:44:00,2025-10-20T16:40:00,2025-10-20T16:41:00,60,62,1,0.333
R2_20251020_1615,10/20/2025,R2,Colombo ⇄ Negombo,BUS100,50,10,2025-10-20T16:15:00,2025-10-20T16:21:00,2025-10-20T17:15:00,2025-10-20T17:17:00,60,63,2,0.2
R2_20251020_1640,10/20/2025,R2,Colombo ⇄ Negombo,BUS105,55,6,2025-10-20T16:40:00,2025-10-20T16:41:00,2025-10-20T17:40:00,2025-10-20T17:40:00,60,60,0,0.109
R2_20251020_1705,10/20/2025,R2,Colombo ⇄ Negombo,BUS114,50,50,2025-10-20T17:05:00,2025-10-20T17:06:00,2025-10-20T18:05:00,2025-10-20T18:10:00,60,63,5,1
R2_20251020_1730,10/20/2025,R2,Colombo ⇄ Negombo,BUS107,50,41,2025-10-20T17:30:00,2025-10-20T17:30:00,2025-10-20T18:30:00,2025-10-20T18:31:00,60,62,1,0.82
R2_20251020_1805,10/20/2025,R2,Colombo ⇄ Negombo,BUS105,50,49,2025-10-20T18:05:00,2025-10-20T18:05:00,2025-10-20T19:05:00,2025-10-20T19:27:00,60,76,22,0.98
R2_20251020_1835,10/20/2025,R2,Colombo ⇄ Negombo,BUS116,45,36,2025-10-20T18:35:00,2025-10-20T18:39:00,2025-10-20T19:35:00,2025-10-20T19:49:00,60,74,14,0.8
R2_20251020_1900,10/20/2025,R2,Colombo ⇄ Negombo,BUS120,55,25,2025-10-20T19:00:00,2025-10-20T19:03:00,2025-10-20T20:00:00,2025-10-20T20:10:00,60,68,10,0.455
R2_20251020_1935,10/20/2025,R2,Colombo ⇄ Negombo,BUS115,55,36,2025-10-20T19:35:00,2025-10-20T19:36:00,2025-10-20T20:35:00,2025-10-20T20:37:00,60,62,2,0.655
R2_20251020_2000,10/20/2025,R2,Colombo ⇄ Negombo,BUS108,50,9,2025-10-20T20:00:00,2025-10-20T20:02:00,2025-10-20T21:00:00,2025-10-20T21:06:00,60,64,6,0.18
R2_20251020_2030,10/20/2025,R2,Colombo ⇄ Negombo,BUS106,45,9,2025-10-20T20:30:00,2025-10-20T20:30:00,2025-10-20T21:30:00,2025-10-20T21:32:00,60,62,2,0.2
R2_20251020_2105,10/20/2025,R2,Colombo ⇄ Negombo,BUS103,45,9,2025-10-20T21:05:00,2025-10-20T21:05:00,2025-10-20T22:05:00,2025-10-20T22:14:00,60,64,9,0.2
R2_20251020_2135,10/20/2025,R2,Colombo ⇄ Negombo,BUS117,50,10,2025-10-20T21:35:00,2025-10-20T21:35:00,2025-10-20T22:35:00,2025-10-20T22:40:00,60,62,5,0.2
R2_20251020_2205,10/20/2025,R2,Colombo ⇄ Negombo,BUS118,50,7,2025-10-20T22:05:00,2025-10-20T22:07:00,2025-10-20T23:05:00,2025-10-20T23:09:00,60,65,4,0.14
R2_20251020_2235,10/20/2025,R2,Colombo ⇄ Negombo,BUS112,50,8,2025-10-20T22:35:00,2025-10-20T22:38:00,2025-10-20T23:35:00,2025-10-20T23:42:00,60,65,7,0.16
R3_20251020_0500,10/20/2025,R3,Colombo ⇄ Moratuwa,BUS102,45,13,2025-10-20T05:00:00,2025-10-20T05:00:00,2025-10-20T05:45:00,2025-10-20T05:50:00,45,50,5,0.289
R3_20251020_0525,10/20/2025,R3,Colombo ⇄ Moratuwa,BUS114,50,13,2025-10-20T05:25:00,2025-10-20T05:25:00,2025-10-20T06:10:00,2025-10-20T06:16:00,45,53,6,0.26
R3_20251020_0555,10/20/2025,R3,Colombo ⇄ Moratuwa,BUS124,45,8,2025-10-20T05:55:00,2025-10-20T05:58:00,2025-10-20T06:40:00,2025-10-20T06:43:00,45,46,3,0.178
R3_20251020_0620,10/20/2025,R3,Colombo ⇄ Moratuwa,BUS114,55,38,2025-10-20T06:20:00,2025-10-20T06:20:00,2025-10-20T07:05:00,2025-10-20T07:07:00,45,49,2,0.691
R3_20251020_0645,10/20/2025,R3,Colombo ⇄ Moratuwa,BUS102,55,40,2025-10-20T06:45:00,2025-10-20T06:48:00,2025-10-20T07:30:00,2025-10-20T07:34:00,45,49,4,0.727
R3_20251020_0715,10/20/2025,R3,Colombo ⇄ Moratuwa,BUS117,45,33,2025-10-20T07:15:00,2025-10-20T07:15:00,2025-10-20T08:00:00,2025-10-20T08:02:00,45,46,2,0.733
R3_20251020_0745,10/20/2025,R3,Colombo ⇄ Moratuwa,BUS109,55,39,2025-10-20T07:45:00,2025-10-20T07:46:00,2025-10-20T08:30:00,2025-10-20T08:33:00,45,46,3,0.709
R3_20251020_0820,10/20/2025,R3,Colombo ⇄ Moratuwa,BUS116,55,25,2025-10-20T08:20:00,2025-10-20T08:22:00,2025-10-20T09:05:00,2025-10-20T09:14:00,45,50,9,0.455
R3_20251020_0855,10/20/2025,R3,Colombo ⇄ Moratuwa,BUS119,50,47,2025-10-20T08:55:00,2025-10-20T08:55:00,2025-10-20T09:40:00,2025-10-20T09:48:00,45,53,8,0.94
R3_20251020_0930,10/20/2025,R3,Colombo ⇄ Moratuwa,BUS118,45,38,2025-10-20T09:30:00,2025-10-20T09:30:00,2025-10-20T10:15:00,2025-10-20T10:23:00,45,53,8,0.844
R3_20251020_1005,10/20/2025,R3,Colombo ⇄ Moratuwa,BUS105,55,11,2025-10-20T10:05:00,2025-10-20T10:10:00,2025-10-20T10:50:00,2025-10-20T10:54:00,45,49,4,0.2
R3_20251020_1035,10/20/2025,R3,Colombo ⇄ Moratuwa,BUS105,50,22,2025-10-20T10:35:00,2025-10-20T10:38:00,2025-10-20T11:20:00,2025-10-20T11:21:00,45,46,1,0.44
R3_20251020_1105,10/20/2025,R3,Colombo ⇄ Moratuwa,BUS114,45,18,2025-10-20T11:05:00,2025-10-20T11:09:00,2025-10-20T11:50:00,2025-10-20T11:54:00,45,49,4,0.4
R3_20251020_1130,10/20/2025,R3,Colombo ⇄ Moratuwa,BUS113,45,18,2025-10-20T11:30:00,2025-10-20T11:34:00,2025-10-20T12:15:00,2025-10-20T12:19:00,45,48,4,0.4
R3_20251020_1200,10/20/2025,R3,Colombo ⇄ Moratuwa,BUS106,50,9,2025-10-20T12:00:00,2025-10-20T12:00:00,2025-10-20T12:45:00,2025-10-20T12:48:00,45,49,3,0.18
R3_20251020_1230,10/20/2025,R3,Colombo ⇄ Moratuwa,BUS122,45,29,2025-10-20T12:30:00,2025-10-20T12:32:00,2025-10-20T13:15:00,2025-10-20T13:17:00,45,47,2,0.644
R3_20251020_1300,10/20/2025,R3,Colombo ⇄ Moratuwa,BUS114,45,18,2025-10-20T13:00:00,2025-10-20T13:04:00,2025-10-20T13:45:00,2025-10-20T13:47:00,45,47,2,0.4
R3_20251020_1325,10/20/2025,R3,Colombo ⇄ Moratuwa,BUS115,45,15,2025-10-20T13:25:00,2025-10-20T13:27:00,2025-10-20T14:10:00,2025-10-20T14:13:00,45,48,3,0.333
R3_20251020_1355,10/20/2025,R3,Colombo ⇄ Moratuwa,BUS102,50,21,2025-10-20T13:55:00,2025-10-20T13:55:00,2025-10-20T14:40:00,2025-10-20T14:45:00,45,45,5,0.42
R3_20251020_1430,10/20/2025,R3,Colombo ⇄ Moratuwa,BUS118,55,20,2025-10-20T14:30:00,2025-10-20T14:31:00,2025-10-20T15:15:00,2025-10-20T15:23:00,45,51,8,0.364
R3_20251020_1505,10/20/2025,R3,Colombo ⇄ Moratuwa,BUS110,55,20,2025-10-20T15:05:00,2025-10-20T15:12:00,2025-10-20T15:50:00,2025-10-20T15:51:00,45,47,1,0.364
R3_20251020_1530,10/20/2025,R3,Colombo ⇄ Moratuwa,BUS107,50,19,2025-10-20T15:30:00,2025-10-20T15:33:00,2025-10-20T16:15:00,2025-10-20T16:21:00,45,51,6,0.38
R3_20251020_1555,10/20/2025,R3,Colombo ⇄ Moratuwa,BUS121,55,25,2025-10-20T15:55:00,2025-10-20T16:00:00,2025-10-20T16:40:00,2025-10-20T16:43:00,45,47,3,0.455
R3_20251020_1620,10/20/2025,R3,Colombo ⇄ Moratuwa,BUS103,55,7,2025-10-20T16:20:00,2025-10-20T16:21:00,2025-10-20T17:05:00,2025-10-20T17:12:00,45,51,7,0.127
R3_20251020_1650,10/20/2025,R3,Colombo ⇄ Moratuwa,BUS102,50,10,2025-10-20T16:50:00,2025-10-20T16:50:00,2025-10-20T17:35:00,2025-10-20T17:36:00,45,47,1,0.2
R3_20251020_1715,10/20/2025,R3,Colombo ⇄ Moratuwa,BUS110,55,49,2025-10-20T17:15:00,2025-10-20T17:15:00,2025-10-20T18:00:00,2025-10-20T18:07:00,45,51,7,0.891
R3_20251020_1745,10/20/2025,R3,Colombo ⇄ Moratuwa,BUS107,55,41,2025-10-20T17:45:00,2025-10-20T17:47:00,2025-10-20T18:30:00,2025-10-20T18:36:00,45,52,6,0.745
R3_20251020_1815,10/20/2025,R3,Colombo ⇄ Moratuwa,BUS114,45,42,2025-10-20T18:15:00,2025-10-20T18:15:00,2025-10-20T19:00:00,2025-10-20T19:10:00,45,50,10,0.933
R3_20251020_1850,10/20/2025,R3,Colombo ⇄ Moratuwa,BUS111,50,37,2025-10-20T18:50:00,2025-10-20T18:50:00,2025-10-20T19:35:00,2025-10-20T19:47:00,45,54,12,0.74
R3_20251020_1915,10/20/2025,R3,Colombo ⇄ Moratuwa,BUS119,55,51,2025-10-20T19:15:00,2025-10-20T19:23:00,2025-10-20T20:00:00,2025-10-20T20:11:00,45,54,11,0.927
R3_20251020_1950,10/20/2025,R3,Colombo ⇄ Moratuwa,BUS114,50,32,2025-10-20T19:50:00,2025-10-20T19:50:00,2025-10-20T20:35:00,2025-10-20T20:36:00,45,45,1,0.64
R3_20251020_2025,10/20/2025,R3,Colombo ⇄ Moratuwa,BUS118,50,9,2025-10-20T20:25:00,2025-10-20T20:25:00,2025-10-20T21:10:00,2025-10-20T21:11:00,45,49,1,0.18
R3_20251020_2055,10/20/2025,R3,Colombo ⇄ Moratuwa,BUS112,50,11,2025-10-20T20:55:00,2025-10-20T20:55:00,2025-10-20T21:40:00,2025-10-20T21:46:00,45,49,6,0.22
R3_20251020_2120,10/20/2025,R3,Colombo ⇄ Moratuwa,BUS108,45,9,2025-10-20T21:20:00,2025-10-20T21:20:00,2025-10-20T22:05:00,2025-10-20T22:05:00,45,45,0,0.2
R3_20251020_2145,10/20/2025,R3,Colombo ⇄ Moratuwa,BUS109,45,8,2025-10-20T21:45:00,2025-10-20T21:45:00,2025-10-20T22:30:00,2025-10-20T22:31:00,45,46,1,0.178
